#	I	OTH
#	CH	OTH
#	CH	OTH
addison	N	OTH

theo	V	B-TC
thời_gian	N	I-TC
,	CH	OTH
bệnh	N	OTH
addison	Np	OTH
hay	Cc	OTH
còn	R	OTH
được	V	OTH
gọi	V	OTH
là	C	OTH
suy	V	OTH
thượng_thận	N	OTH
nguyên_phát	A	OTH
,	CH	OTH
sẽ	R	OTH
dẫn	V	OTH
đến	E	OTH
các	L	OTH
triệu_chứng	N	OTH
sau	N	OTH
:	CH	OTH

mệt_mỏi	A	B-TC
mãn_tính	N	I-TC
và	Cc	OTH
cảm_giác	N	OTH
yếu	A	OTH
cơ	T	OTH

mất	V	B-TC
cảm_giác	N	I-TC
ngon_miệng	A	I-TC
,	CH	OTH
không	R	OTH
có	V	OTH
khả_năng	N	OTH
tiêu_hoá	V	OTH
thức_ăn	N	OTH
và	Cc	OTH
giảm	V	OTH
cân	N	OTH

huyết_áp_thấp	N	B-TC
(	CH	OTH
hạ	V	B-TC
huyết_áp	N	I-TC
)	CH	OTH
giảm	V	OTH
nhiều	A	OTH
hơn	A	OTH
khi	N	B-TG
đứng	V	I-TC

điều	N	OTH
này	P	OTH
gây	V	OTH
ra	V	OTH
chóng_mặt	V	OTH
,	CH	OTH
đôi_khi	R	OTH
đến	E	OTH
mức	N	OTH
ngất_xỉu	V	OTH

xuất_hiện	V	B-TC
các	L	I-TC
vết	N	I-TC
nám	V	I-TC
,	CH	OTH
sạm	A	OTH
đen	A	OTH
và	Cc	OTH
tàn_nhang	A	OTH
trên	E	OTH
da	N	OTH

da	N	OTH
sẫm	A	OTH
màu	N	OTH
đặc_biệt	A	OTH
xảy	V	OTH
ra	V	OTH
nhiều	A	OTH
ở	E	OTH
vùng	N	OTH
trán	N	OTH
,	CH	OTH
đầu_gối	N	OTH
và	Cc	OTH
khuỷu	N	OTH
tay	N	OTH
hoặc	Cc	OTH
dọc	A	OTH
theo	E	OTH
sẹo	N	OTH
,	CH	OTH
nếp	N	OTH
gấp	V	OTH
da	N	OTH
và	Cc	OTH
nếp	N	OTH
nhăn	V	OTH
(	CH	OTH
như	C	OTH
ở	E	OTH
lòng	N	OTH
bàn_tay	N	OTH
)	CH	OTH

bất_thường	A	OTH
lượng	N	OTH
đường	N	OTH
trong	E	OTH
máu	N	OTH
,	CH	OTH
như	C	OTH
lượng	N	OTH
đường	N	OTH
trong	E	OTH
máu	N	OTH
thấp	A	OTH
nguy_hiểm	A	OTH
(	CH	OTH
hạ	V	B-TC
đường_huyết	N	I-TC
)	CH	OTH

buồn_nôn	N	B-TC
,	CH	OTH
nôn	N	OTH
và	Cc	OTH
tiêu_chảy	N	OTH

không	R	OTH
có	V	OTH
khả_năng	N	OTH
đối_phó	V	OTH
với	E	OTH
căng_thẳng	A	OTH

tâm_trạng	N	B-TC
buồn_bực	A	I-TC
,	CH	OTH
khó_chịu	A	OTH
và	Cc	OTH
trầm_cảm	A	OTH

không	R	OTH
thích_nghi	V	OTH
được	R	OTH
với	E	OTH
cảm_giác	N	OTH
nóng	A	OTH
hoặc	Cc	OTH
lạnh	A	OTH

thèm	V	B-TC
đồ_ăn	N	I-TC
mặn	A	I-TC

vì	E	OTH
các	L	OTH
triệu_chứng	N	OTH
của	E	OTH
bệnh	N	OTH
addison	Np	OTH
tiến_triển	V	OTH
chậm	A	OTH
,	CH	OTH
chúng	P	OTH
có_thể	R	OTH
không	R	OTH
được	V	OTH
nhận	V	OTH
ra	R	OTH
cho	E	OTH
đến	E	OTH
khi	N	OTH
bị	V	OTH
kích_hoạt	V	OTH
bởi	E	OTH
một	M	OTH
sự_kiện	N	OTH
căng_thẳng	A	OTH
về	E	OTH
thể_chất	N	OTH

chẳng_hạn	X	OTH
như	C	OTH
bị	V	OTH
một	M	OTH
bệnh	N	OTH
khác	A	OTH
,	CH	OTH
phẫu_thuật	N	OTH
hoặc	Cc	OTH
tai_nạn	N	OTH
,	CH	OTH
làm	V	OTH
cho	E	OTH
các	L	OTH
triệu_chứng	N	OTH
xấu	A	OTH
đi	R	OTH
nhanh_chóng	A	OTH

khi	N	OTH
điều	N	OTH
này	P	OTH
xảy	V	OTH
ra	R	OTH
,	CH	OTH
nó	P	OTH
được	R	OTH
gọi	V	OTH
là	C	OTH
một	M	OTH
cuộc	N	OTH
khủng_hoảng	V	OTH
addisonia	Np	OTH

cứ	R	OTH
bốn	M	OTH
người	N	OTH
mắc	V	OTH
bệnh	N	OTH
addison	Np	OTH
thì	C	OTH
sẽ	R	OTH
có	V	OTH
một	M	OTH
người	N	OTH
phát_hiện	V	OTH
bệnh	N	OTH
khi	N	OTH
bị	V	OTH
cuộc	N	OTH
khủng_hoảng	V	OTH
addisonia	Np	OTH

khủng_hoảng	N	OTH
addisonia	Np	OTH
được	V	OTH
xem	V	OTH
là	C	OTH
một	M	OTH
cấp_cứu	V	OTH
y_khoa	N	OTH
vì	E	OTH
nó	P	OTH
có_thể	R	OTH
gây	V	OTH
tử_vong	V	OTH

#	CH	OTH
#	CH	OTH
#	Nc	OTH
alzheimer	Np	OTH

ban_đầu	N	OTH
các	L	OTH
triệu_chứng	N	OTH
của	E	OTH
bệnh	N	OTH
alzheimer	Np	OTH
thường	R	OTH
là	V	OTH
nhẹ	A	OTH
,	CH	OTH
nhưng	C	OTH
khi	N	OTH
các	L	OTH
tế_bào	N	OTH
não	N	OTH
bị	V	OTH
tổn_thương	V	OTH
theo	E	OTH
thời_gian	N	OTH

chúng	P	OTH
trở_nên	V	OTH
tồi_tệ	A	OTH
hơn	A	OTH
và	Cc	OTH
bắt_đầu	V	OTH
ảnh_hưởng	V	OTH
đến	E	OTH
cuộc_sống	N	OTH
hàng	N	OTH
ngày	N	OTH
của	E	OTH
người_bệnh	N	OTH

điều	N	OTH
này	P	OTH
khiến	V	OTH
triệu_chứng	N	OTH
bệnh	N	OTH
khác	A	OTH
hẳn	R	OTH
với	E	OTH
các	L	OTH
hành_vi	N	OTH
,	CH	OTH
suy_nghĩ	V	B-TC
chậm_chạp	A	I-TC
,	CH	OTH
hay	C	OTH
quên	V	OTH
của	E	OTH
tuổi	N	OTH
già	A	OTH
bình	N	OTH
thường.người	N	OTH
bệnh	N	OTH
alzheimer	Np	OTH
không	R	OTH
ai	P	OTH
có	V	OTH
