nhiều	A	OTH
trẻ	A	OTH
không	R	OTH
có	V	OTH
dấu_hiệu	N	OTH
hoặc	Cc	OTH
triệu_chứng	N	OTH
sốt_xuất_huyết	N	OTH

các	L	OTH
triệu_chứng	N	OTH
bắt_đầu	V	OTH
từ	E	OTH
4	M	OTH
đến	E	OTH
10	M	OTH
ngày	N	OTH
sau	E	OTH
khi	N	OTH
trẻ	N	OTH
bị	V	OTH
muỗi	N	OTH
nhiễm_bệnh	V	OTH
cắn	V	OTH

sốt_xuất_huyết	N	OTH
gây	V	OTH
sốt	V	OTH
cao	A	OTH
40	M	OTH
độ	N	OTH
c	Ny	OTH
–	CH	OTH
và	Cc	OTH
bất_kỳ	A	OTH
dấu_hiệu	N	OTH
và	Cc	OTH
triệu_chứng	N	OTH
nào	P	OTH
sau	N	OTH
đây	P	OTH
:	CH	OTH

đau_đầu	V	B-TC

đau	V	B-TC
cơ	N	I-TC
,	CH	OTH
xương	N	OTH
hoặc	Cc	OTH
khớp	N	OTH

buồn_nôn	N	B-TC

nôn_mửa	N	B-TC

đau	V	B-TC
sau	E	I-TC
mắt	N	I-TC

viêm	N	B-TC
tuyến	N	I-TC

phát_ban	V	B-TC

https://cdn.youmed.vn/tin-tuc/wp-content/uploads/2021/05/609dfa88d4f34.jpg	V	B-TC

hầu_hết	R	OTH
trẻ	A	OTH
có_thể	R	OTH
hồi_phục	V	OTH
trong	E	OTH
vòng	N	OTH
một	M	OTH
tuần	N	OTH
hoặc	Cc	OTH
lâu	A	OTH
hơn	A	OTH

trong	E	OTH
một_số	L	OTH
trường_hợp	N	OTH
đặc_biệt	A	OTH
,	CH	OTH
triệu_chứng	N	OTH
có_thể	R	OTH
xấu	A	OTH
đi	V	OTH
và	Cc	OTH
đe_doạ	V	OTH
tính_mạng	N	OTH

đây	P	OTH
được	V	OTH
gọi	V	OTH
là	C	OTH
sốt_xuất_huyết	N	OTH
nặng	A	OTH
,	CH	OTH
sốt_xuất_huyết	N	OTH
dengue	Np	OTH
hoặc	Cc	OTH
hội_chứng	N	OTH
sốc	N	OTH
dengue	Np	OTH

bệnh	N	OTH
sốt_xuất_huyết	N	OTH
nghiêm_trọng	A	OTH
xảy	V	OTH
ra	V	OTH
khi	N	OTH
các	L	OTH
mạch_máu	N	OTH
của	E	OTH
trẻ	N	OTH
bị	V	OTH
tổn_thương	V	OTH

số_lượng	N	OTH
tế_bào	N	OTH
hình_thành	V	OTH
cục	Nc	OTH
máu	N	OTH
đông	N	OTH
(	CH	OTH
tiểu_cầu	N	OTH
)	CH	OTH
trong	E	OTH
máu	N	OTH
của	E	OTH
trẻ	N	OTH
giảm	V	OTH
xuống	V	OTH

điều	N	OTH
này	P	OTH
có_thể	R	OTH
dẫn	V	OTH
đến	E	OTH
sốc	N	OTH
,	CH	OTH
chảy_máu	V	B-TC
trong	E	I-TC
,	CH	OTH
suy	V	OTH
nội_tạng	N	OTH
và	Cc	OTH
thậm_chí	R	OTH
tử_vong	V	OTH

các	L	OTH
triệu_chứng	N	OTH
sốt_xuất_huyết	N	OTH
nặng	A	OTH
có_thể	R	OTH
bắt_đầu	V	OTH
vào	E	OTH
ngày	N	OTH
đầu_tiên	A	OTH
hoặc	Cc	OTH
hai	M	OTH
ngày	N	OTH
sau	E	OTH
khi	N	OTH
hết	V	OTH
sốt	N	OTH
bao_gồm	V	OTH
:	CH	OTH

đau	V	B-TC
bụng	N	I-TC
dữ_dội	A	I-TC

nôn_mửa	N	B-TC
liên_tục	A	I-TC

chảy_máu	V	B-TC
nướu	N	I-TC
răng	N	I-TC
hoặc	Cc	OTH
mũi	N	OTH

có	V	OTH
máu	N	B-TC
trong	E	I-TC
nước_tiểu	N	I-TC
,	CH	OTH
phân	V	B-TC
hoặc	Cc	OTH
nôn	V	B-TC
ra	V	I-TC
máu	N	I-TC

chảy_máu	V	B-TC
dưới	E	I-TC
da	N	I-TC
,	CH	OTH
có_thể	R	OTH
trông	V	OTH
giống	A	OTH
như	C	OTH
bầm	A	B-TC
tím	A	I-TC

khó	A	B-TC
thở	V	I-TC
hoặc	Cc	OTH
thở	V	B-TC
nhanh	A	I-TC

mệt_mỏi	A	B-TC

khó_chịu	V	B-TC
hoặc	Cc	OTH
bồn_chồn	A	B-TC

