sốt	N	B-TC
trên	E	I-TC
38	M	I-TC
độ	N	I-TC
c	Ny	I-TC

đau	V	B-TC
vùng	N	I-TC
trên	E	I-TC
rốn	N	I-TC
:	CH	OTH

chúng_ta	P	OTH
có_thể	R	OTH
cảm_thấy	V	OTH
cảm_giác	N	B-TC
cồn_cào	A	I-TC
,	CH	OTH
nóng	A	B-TC
rát	A	I-TC
âm_ỉ	A	I-TC
,	CH	OTH
đôi_khi	R	OTH
đau	V	B-TC
quặn	A	I-TC
ở	E	I-TC
vùng	N	I-TC
bụng	N	I-TC
trên	E	I-TC
rốn	N	I-TC
,	CH	OTH
nhất_là	X	OTH
sau	N	OTH
khi	N	B-TG
ăn	V	I-TG
xong	V	I-TG
khoảng	N	OTH
2	M	OTH
–	CH	OTH
3	M	OTH
tiếng	Nu	OTH
,	CH	OTH
hoặc	Cc	OTH
khi	N	B-TG
chúng_ta	P	OTH
đói	V	I-TG
bụng	N	I-TG

cơn	N	OTH
đau	V	B-TC
cũng	R	OTH
thường	R	OTH
xuất_hiện	V	OTH
vào	E	B-TG
lúc	N	I-TG
nửa_đêm	N	I-TG
,	CH	OTH
về	E	OTH
sáng	N	OTH
làm	V	OTH
cản_trở	V	OTH
giấc_ngủ	N	OTH

đầy	V	B-TC
bụng	N	I-TC
,	CH	OTH
khó	A	B-TC
tiêu	V	I-TC
,	CH	OTH
buồn_nôn	A	B-TC
:	CH	OTH

khi	N	OTH
dạ_dày	N	OTH
tổn_thương	V	OTH
làm	V	OTH
hoạt_động	N	OTH
tiêu_hoá	V	OTH
bị	V	OTH
trì_trệ	A	OTH
,	CH	OTH
thức_ăn	N	OTH
chậm	A	OTH
đi	V	OTH
ra	V	OTH
khỏi	V	OTH
đường	N	OTH
tiêu_hoá	V	OTH
gây	V	OTH
ra	V	OTH
những	L	OTH
triệu_chứng	N	OTH
đầy	A	B-TC
bụng	N	I-TC
,	CH	OTH
khó	A	B-TC
tiêu	V	I-TC
hay	C	OTH
buồn_nôn	A	B-TC

nôn	N	B-TC
có_thể	R	OTH
khiến	V	OTH
chúng_ta	P	OTH
thấy	V	OTH
dễ_chịu	A	OTH
hơn	R	OTH

đôi_khi	R	OTH
,	CH	OTH
trong	E	OTH
những	L	OTH
trường_hợp	N	OTH
có	V	OTH
