đau			N	B-TC
mỏi			A	I-TC
cổ			A	I-TC
vai			N	I-TC
gáy			V	I-TC
lan			V	OTH
xuống			E	OTH
nửa			L	OTH
người			N	OTH
kèm			V	OTH
theo			V	OTH
triệu_chứng		N	OTH
tê			A	OTH
bì			V	OTH
một			M	OTH
bên			N	OTH

tê			N	OTH
/			CH	OTH
dị			N	OTH
cảm			V	OTH
mặt			N	OTH
trong			E	OTH
cánh_tay		N	OTH
lan			V	OTH
xuống			R	OTH
ngón			N	OTH
4/5			M	OTH
chẳng_hạn		X	OTH
,			CH	OTH
khi			N	B-TG
nằm			V	I-TG
lâu			A	OTH
/			CH	OTH
để			E	OTH
tay_chân		N	OTH
ở			E	OTH
vị_trí			N	OTH
cố_định			V	OTH
trong			E	OTH
1			M	OTH
khoảng			N	OTH
thời_gian		N	OTH
nào			P	OTH
đó			P	OTH
,			CH	OTH
râm_ran			A	OTH
như			C	OTH
kiến			N	OTH
bò			N	OTH

tê			N	B-TC
kiểu			N	I-TC
châm_chích		N	I-TC
,			CH	OTH
nóng_bỏng		A	OTH
tứ_chi			N	OTH
kiểu			N	OTH
của			E	OTH
bệnh_lý			N	OTH
viêm			N	OTH
đa			Z	OTH
dây_thần_kinh		N	OTH
trong			E	OTH
tiểu_đường		N	OTH
,			CH	OTH
bệnh_lý			N	OTH
tổn_thương		N	OTH
đa			Z	OTH
rễ			N	OTH
/			CH	OTH
nhiều			A	OTH
rễ			N	OTH
-			CH	OTH
dây_thần_kinh		N	OTH

tay_chân		N	B-TC
mất			V	I-TC
cảm_giác		N	I-TC
:			CH	OTH
tình_trạng		N	OTH
tê			P	OTH
kéo_dài			V	OTH
sẽ			R	OTH
khiến			V	OTH
tay			N	OTH
,			CH	OTH
chân			N	B-TC
bị			V	I-TC
mất			V	I-TC
cảm_giác		N	I-TC
,			CH	OTH
thường			R	OTH
gặp			V	OTH
nhất			A	OTH
về			E	B-TG
đêm			N	I-TG

tê			N	B-TC
buốt			A	I-TC
lan			V	I-TC
dọc			A	I-TC
cánh_tay		N	I-TC
,			CH	OTH
cẳng_chân		N	OTH
:			CH	OTH
tê			P	OTH
buốt			A	OTH
lan			V	OTH
đến			E	OTH
hết			V	OTH
cánh_tay		N	OTH
,			CH	OTH
cổ_chân			N	OTH
,			CH	OTH
cẳng_chân		N	OTH
và			Cc	OTH
gây			V	OTH
hạn_chế			V	OTH
vận_động		V	OTH

chuột_rút		N	B-TC
ở			E	I-TC
tay_chân		N	I-TC
:			CH	OTH
co			V	OTH
thắt			V	OTH
cơ			N	OTH
đột_ngột		A	OTH
gây			V	OTH
đau_nhức		V	B-TC
âm_ỉ			A	I-TC
bắp_tay			N	I-TC
,			CH	OTH
bắp_chân		N	OTH

khi			N	OTH
người_bệnh		N	OTH
có			V	OTH
triệu_chứng		N	OTH
tê			A	B-TC
ở			E	I-TC
chân			N	I-TC
kèm			V	OTH
những			L	OTH
dấu_hiệu		N	OTH
dưới			N	OTH
đây			P	OTH
thì			C	OTH
cần			V	OTH
đi			V	OTH
khám			V	OTH
bác_sĩ			N	OTH
ngay_lập_tức		R	OTH
:			CH	OTH

bị			V	OTH
tê			P	B-TC
chân			N	I-TC
kéo_dài			V	OTH
trong			E	OTH
thời_gian		N	OTH
dài			A	OTH
liên_tục		A	OTH
khoảng			N	OTH
trên			A	OTH
6			M	OTH
tuần			N	OTH

tê			V	B-TC
chân			N	I-TC
đi			V	OTH
kèm			V	OTH
với			E	OTH
bất_kỳ			A	OTH
triệu_chứng		N	OTH
mãn_tính		N	OTH
khác			A	OTH

bị			V	OTH
tê			P	B-TC
chân			N	I-TC
kèm			V	OTH
thay_đổi		V	OTH
về			E	OTH
màu_sắc			N	OTH
,			CH	OTH
hình_dạng		N	OTH
hoặc			Cc	OTH
nhiệt_độ		N	OTH
của			E	OTH
chân			N	OTH
và			Cc	OTH
bàn_chân		N	OTH

hay			C	B-TC
quên			V	I-TC
,			CH	OTH
dễ			A	B-TC
nhầm_lẫn		V	I-TC

chóng_mặt		V	B-TC

mất			V	B-TC
kiểm_soát		V	I-TC
bàng_quang		N	I-TC
và			Cc	OTH
ruột			N	OTH

tê_liệt			V	B-TC
xảy			V	OTH
ra			R	OTH
sau			E	OTH
một			M	OTH
chấn_thương		N	OTH
đầu			N	OTH

đau_đầu			V	B-TC
dữ_dội			A	I-TC

khó			A	B-TC
thở			V	I-TC

co			V	B-TC
giật			N	I-TC

