##0 OTH
đau B-TT
vùng I-TT
trên I-TT
rốn I-TT
: OTH
đây OTH
là OTH
triệu OTH
chứng OTH
thường OTH
gặp OTH
nhất OTH
và OTH
là OTH
nguyên OTH
nhân OTH
khiến OTH
chúng OTH
ta OTH
cảm OTH
thấy OTH
khó OTH
chịu OTH
nhất OTH

chúng OTH
ta OTH
có OTH
thể OTH
cảm OTH
thấy OTH
cảm OTH
giác OTH
cồn B-TT
cào I-TT
, OTH
nóng B-TT
rát I-TT
âm I-TT
ỉ I-TT
, OTH
đôi OTH
khi OTH
đau B-TT
quặn I-TT
ở I-TT
vùng I-TT
bụng I-TT
trên I-TT
rốn I-TT
, OTH
nhất OTH
là OTH
sau B-TG
khi I-TG
ăn I-TG
xong I-TG
khoảng I-TG
2 I-TG
– I-TG
3 I-TG
tiếng I-TG
, OTH
hoặc OTH
khi B-TG
đói I-TG
bụng I-TG
lúc I-TG
nửa I-TG
đêm I-TG
, OTH
về B-TG
sáng I-TG
làm OTH
cản OTH
trở OTH
giấc OTH
ngủ OTH

đầy B-TT
bụng I-TT
, OTH
khó B-TT
tiêu I-TT
, OTH
buồn B-TT
nôn I-TT
: OTH
khi OTH
dạ OTH
dày OTH
tổn OTH
thương OTH
làm OTH
hoạt OTH
động OTH
tiêu OTH
hoá OTH
bị OTH
trì OTH
trệ OTH
, OTH
thức OTH
ăn OTH
chậm OTH
đi OTH
ra OTH
khỏi OTH
đường OTH
tiêu OTH
hoá OTH
gây OTH
ra OTH
những OTH
triệu OTH
chứng OTH
đầy B-TT
bụng I-TT
, OTH
khó B-TT
tiêu I-TT
hay OTH
buồn B-TT
nôn I-TT

nôn B-TT
có OTH
thể OTH
khiến OTH
chúng OTH
ta OTH
thấy OTH
dễ OTH
chịu OTH
hơn OTH

đôi OTH
khi OTH
, OTH
trong OTH
những OTH
trường OTH
hợp OTH
có OTH
chảy B-TT
máu I-TT
dạ I-TT
dày I-TT
, OTH
chúng OTH
ta OTH
có OTH
thể OTH
nôn B-TT
kèm I-TT
máu I-TT

đây OTH
là OTH
triệu OTH
chứng OTH
báo OTH
