đau		A	B-TT
vùng		N	I-TT
trên		E	I-TT
rốn		A	I-TT

đây		P	OTH
là		V	OTH
triệu_chứng	N	OTH
thường		R	OTH
gặp		V	OTH
nhất		N	OTH
và		CC	OTH
là		V	OTH
nguyên_nhân	N	OTH
khiến		V	OTH
chúng_ta	P	OTH
cảm_thấy	V	B-TT
khó_chịu	A	I-TT
nhất		R	OTH


chúng_ta	P	OTH
có_thể		R	OTH
cảm_thấy	V	OTH
cảm_giác	N	B-TT
cồn_cào		A	I-TT
vùng		N	I-TT
bụng		N	I-TT
trên		E	OTH
rốn		A	OTH
nhất		A	OTH
là		V	OTH
sau		E	B-TG
khi		N	I-TG
ăn		V	I-TG
xong		R	I-TG
khoảng		A	OTH
2		M	OTH
–		-	OTH
3		M	OTH
tiếng		N	OTH
hoặc		CC	OTH
khi		N	B-TG
chúng_ta	P	OTH
đói		V	I-TG
bụng		N	I-TG


cơn		R	OTH
đau		V	OTH
cũng		R	OTH
thường		R	OTH
xuất_hiện	V	OTH
vào		E	B-TG
lúc		N	I-TG
nửa_đêm		N	I-TG
về		V	OTH
sáng		N	OTH
làm		V	OTH
cản_trở		N	OTH
giấc_ngủ	N	OTH


đầy		Np 	B-TT
bụng		N	I-TT
khó		A	B-TT
tiêu		V	I-TT
buồn_nôn	A	B-TT

khi		R	OTH
dạ_dày		N	OTH
tổn_thương	N	OTH
làm		V	OTH
hoạt_động	R	OTH
tiêu_hoá	A	OTH
bị		V	OTH
trì_trệ		V	OTH
thức_ăn		V	OTH
chậm		A	OTH
đi		V	OTH
ra		R	OTH
khỏi		V	OTH
đường		N	OTH
tiêu_hoá	A	OTH
gây		V	OTH
ra		R	OTH
những		L	OTH
triệu_chứng	N	OTH
đầy		A	B-TT
bụng		N	I-TT
khó		A	B-TT
tiêu		V	I-TT
hay		C	OTH
buồn_nôn	V	B-TT


nôn		A	B-TT
có_thể		R	OTH
khiến		V	OTH
chúng_ta	P	OTH
thấy		V	OTH
dễ_chịu		A	OTH
hơn		R	OTH

đôi_khi		X	OTH
trong		E	OTH
những		L	OTH
trường_hợp	N	OTH
có		V	OTH
chảy_máu	N	OTH
dạ_dày		N	OTH
chúng_ta	P	OTH
có_thể		R	OTH
nôn		V	B-TT
kèm		V	I-TT
máu		N	I-TT


ợ		A	B-TT
nóng		A	I-TT
khó_chịu	V	B-TT
vùng		N	I-TT
ngực		N	I-TT


tiêu_phân	N	B-TT
đen		A	I-TT
tiêu		V	B-TT
máu		N	I-TT
đỏ		A	I-TT

khi		R	OTH
lượng		N	OTH
máu		N	OTH
ít		A	OTH
máu		N	OTH
có_thể		A	OTH
được		R	OTH
tiêu_hoá	N	OTH
và		CC	OTH
chúng_ta	P	OTH
đi_tiêu		V	B-TT
ra		R	I-TT
phân		V	I-TT
màu		N	I-TT
đen		A	I-TT
dính		V	OTH
mùi		N	OTH
tanh		A	OTH


trong		R	OTH
những		L	OTH
trường_hợp	N	OTH
hiếm		A	OTH
chảy		V	OTH
máu		N	OTH
lượng		N	OTH
