#			M	OTH
#			CH	OTH
0			M	OTH

đau			V	B-TC
vùng			N	I-TC
trên			E	I-TC
rốn			N	I-TC
:			CH	OTH

chúng_ta		P	OTH
có_thể			R	OTH
cảm_thấy		V	OTH
cảm_giác		N	OTH
cồn_cào			A	OTH
,			CH	OTH
nóng			A	OTH
rát			A	OTH
âm_ỉ			A	OTH
,			CH	OTH
đôi_khi			R	OTH
đau			V	OTH
quặn			A	OTH
ở			E	OTH
vùng			N	OTH
bụng			N	OTH
trên			E	OTH
rốn			N	OTH
,			CH	OTH
nhất_là			X	OTH
sau			N	OTH
khi			N	B-TG
ăn			V	I-TC
xong			V	I-TC
khoảng			N	OTH
2			M	OTH
–			CH	OTH
3			M	OTH
tiếng			Nu	OTH
,			CH	OTH
hoặc			Cc	OTH
khi			N	B-TG
chúng_ta		P	OTH
đói			V	I-TC
bụng			N	I-TC

cơn			N	OTH
đau			V	OTH
cũng			R	OTH
thường			R	OTH
xuất_hiện		V	OTH
vào			E	B-TG
lúc			N	I-TC
nửa_đêm			N	I-TC
,			CH	OTH
về			E	OTH
sáng			N	OTH
làm			V	OTH
cản_trở			V	OTH
giấc_ngủ		N	OTH

đầy			V	B-TC
bụng			N	I-TC
,			CH	OTH
khó			A	B-TC
tiêu			V	I-TC
,			CH	OTH
buồn_nôn		A	B-TC
:			CH	OTH

khi			N	OTH
dạ_dày			N	OTH
tổn_thương		V	OTH
làm			V	OTH
hoạt_động		N	OTH
tiêu_hoá		V	OTH
bị			V	OTH
trì_trệ			A	OTH
,			CH	OTH
thức_ăn			N	OTH
chậm			A	OTH
đi			V	OTH
ra			V	OTH
khỏi			V	OTH
đường			N	OTH
tiêu_hoá		V	OTH
gây			V	OTH
ra			V	OTH
những			L	OTH
triệu_chứng		N	OTH
đầy			A	B-TC
bụng			N	I-TC
,			CH	OTH
khó			A	B-TC
tiêu			V	I-TC
hay			C	OTH
buồn_nôn		A	B-TC

nôn			N	B-TC
có_thể			R	OTH
khiến			V	OTH
chúng_ta		P	OTH
thấy			V	OTH
dễ_chịu			A	OTH
hơn			R	OTH

đôi_khi			R	OTH
,			CH	OTH
trong			E	OTH
những			L	OTH
trường_hợp		N	OTH
có			V	OTH
chảy_máu		V	OTH
dạ_dày			N	OTH
,			CH	OTH
chúng_ta		P	OTH
có_thể			R	OTH
nôn			V	B-TC
kèm			V	I-TC
máu			N	I-TC

đây			P	OTH
là			V	OTH
triệu_chứng		N	OTH
báo_động		V	OTH
,			CH	OTH
cần			V	OTH
đi			V	OTH
khám			V	OTH
để			E	OTH
được			V	OTH
điều_trị		V	OTH
ngay_lập_tức		R	OTH

ợ			N	B-TC
nóng			A	I-TC
,			CH	OTH
khó_chịu		A	B-TC
vùng			N	I-TC
ngực			N	I-TC

tiêu			V	B-TC
phân			N	I-TC
